route_id,hour,day_type,is_holiday,weather,crowd_level
R18,10,Weekend,1,Rain,Medium
R1,17,Weekend,0,Rain,Medium
R19,12,Weekend,1,Clear,Low
R10,11,Weekday,0,Clear,Medium
R13,9,Weekend,0,Clear,Medium
R2,19,Weekend,0,Clear,Medium
R12,13,Weekend,0,Rain,Low
R1,7,Weekday,1,Clear,Low
R10,12,Weekday,1,Rain,Low
R7,23,Weekday,1,Clear,Low
R11,11,Weekday,1,Rain,Low
R10,23,Weekend,1,Rain,Low
R9,7,Weekday,1,Rain,Low
R13,19,Weekend,0,Clear,Low
R15,17,Weekday,1,Clear,High
R12,17,Weekend,1,Clear,Low
R5,18,Weekday,0,Clear,Medium
R1,15,Weekday,0,Rain,Low
R4,19,Weekend,1,Rain,Medium
R20,7,Weekday,0,Clear,Low
R3,15,Weekday,1,Rain,Low
R19,19,Weekday,1,Rain,High
R9,19,Weekend,1,Rain,Medium
R18,3,Weekend,0,Rain,Low
R6,5,Weekend,1,Clear,Low
R16,6,Weekend,1,Rain,Low
R14,12,Weekday,1,Rain,Low
R7,11,Weekend,1,Clear,Low
R9,5,Weekend,0,Rain,Low
R19,21,Weekday,0,Clear,Low
R14,8,Weekend,0,Rain,High
R7,16,Weekend,0,Rain,Medium
R20,16,Weekend,0,Rain,Low
R2,10,Weekend,1,Clear,Medium
R16,0,Weekday,1,Rain,Low
R11,7,Weekend,0,Rain,Low
R10,3,Weekend,1,Rain,Low
R5,3,Weekend,0,Clear,Low
R11,2,Weekend,0,Rain,Medium
R19,17,Weekday,1,Clear,Medium
R15,17,Weekend,0,Rain,High
R8,11,Weekday,1,Clear,Low
R18,8,Weekend,1,Clear,Low
R18,14,Weekend,0,Rain,Low
R8,9,Weekend,0,Clear,Low
R18,15,Weekday,1,Rain,Low
R9,3,Weekday,0,Rain,Medium
R11,22,Weekend,0,Rain,Low
R16,3,Weekday,0,Clear,Low
R14,1,Weekday,0,Rain,High
R12,5,Weekday,0,Clear,Low
R3,14,Weekend,0,Clear,Low
R19,5,Weekday,0,Clear,Low
R18,11,Weekend,1,Clear,Low
R15,6,Weekday,1,Rain,Low
R5,19,Weekday,1,Clear,Medium
R19,22,Weekday,0,Clear,Low
R2,20,Weekend,0,Clear,High
R13,20,Weekday,0,Rain,High
R7,17,Weekday,0,Rain,High
R13,16,Weekday,1,Rain,Low
R15,14,Weekend,0,Rain,Low
R9,16,Weekend,0,Rain,Low
R14,13,Weekday,1,Clear,Low
R13,1,Weekday,0,Clear,Low
R9,23,Weekend,1,Clear,Low
R13,0,Weekday,1,Rain,Low
R20,21,Weekend,0,Clear,Low
R12,2,Weekend,0,Clear,Low
R17,22,Weekday,1,Rain,Medium
R13,23,Weekend,0,Rain,Low
R8,21,Weekday,1,Rain,Medium
R8,5,Weekday,0,Rain,Low
R7,9,Weekday,0,Rain,High
R9,21,Weekend,0,Rain,Low
R8,4,Weekend,0,Clear,Low
R14,0,Weekday,0,Clear,Medium
R13,14,Weekday,1,Rain,Low
R14,0,Weekday,0,Rain,Medium
R15,21,Weekend,1,Rain,Low
R2,23,Weekday,1,Clear,Low
R5,8,Weekday,0,Clear,High
R17,5,Weekend,1,Clear,Low
R6,14,Weekday,1,Clear,Low
R11,1,Weekday,1,Rain,Low
R12,5,Weekend,0,Rain,Medium
R10,1,Weekday,0,Clear,Medium
R11,22,Weekend,1,Rain,Low
R9,2,Weekday,0,Clear,Low
R3,23,Weekday,1,Rain,Low
R6,20,Weekend,0,Rain,High
R7,10,Weekend,0,Rain,Medium
R4,19,Weekday,1,Rain,High
R8,13,Weekday,0,Clear,Low
R6,9,Weekend,1,Clear,Low
R4,23,Weekday,0,Clear,Low
R1,16,Weekday,0,Rain,Low
R12,22,Weekend,1,Clear,Low
R5,6,Weekday,1,Clear,Low
R18,3,Weekend,1,Rain,Low
R15,22,Weekend,1,Clear,Low
R15,1,Weekday,1,Clear,Low
R5,7,Weekend,0,Clear,Low
R8,23,Weekend,1,Clear,Low
R6,17,Weekday,0,Clear,Medium
R12,4,Weekday,0,Rain,Medium
R8,7,Weekend,0,Clear,Low
R17,15,Weekday,0,Clear,Medium
R14,23,Weekend,0,Clear,Low
R16,5,Weekday,1,Clear,Low
R15,21,Weekend,1,Rain,Low
R10,6,Weekday,1,Clear,Low
R18,0,Weekday,0,Rain,High
R9,1,Weekday,1,Clear,Low
R18,8,Weekend,1,Clear,Low
R19,13,Weekend,0,Clear,Low
R20,16,Weekend,0,Rain,Low
R1,10,Weekend,1,Clear,Medium
R15,13,Weekend,1,Rain,Low
R1,20,Weekend,1,Rain,High
R13,14,Weekend,0,Rain,Low
R1,9,Weekend,1,Rain,High
R20,20,Weekday,1,Clear,High
R1,3,Weekday,0,Clear,Low
R2,9,Weekend,1,Rain,Medium
R6,10,Weekday,0,Rain,High
R20,0,Weekday,0,Rain,High
R6,17,Weekend,1,Clear,Low
R2,22,Weekend,0,Rain,Low
R4,18,Weekday,0,Rain,High
R8,8,Weekend,0,Clear,Low
R4,14,Weekday,1,Rain,Low
R7,2,Weekend,0,Rain,Low
R8,18,Weekend,0,Clear,High
R9,9,Weekend,1,Clear,Low
R9,19,Weekday,0,Clear,High
R4,20,Weekday,0,Clear,High
